restaurant_name,ratings,price_for_one,cuisine,links,location,delivery_review_no,timings
Punjabi Dhaba,3.7,100,Chinese,www.zomato.com/bangalore/punjabi-dhaba-indiranagar-bangalore/order,Indiranagar,13.0,"12midnight – 4am, 6am – 12midnight "
Deccan Biryani Limited,2.9,100,Biryani,www.zomato.com/bangalore/deccan-biryani-limited-wilson-garden-bangalore/order,Wilson Garden,0.0,Timings Not Available
Deccan Biryani Limited,2.9,100,Desserts,www.zomato.com/bangalore/deccan-biryani-limited-wilson-garden-bangalore/order,Wilson Garden,0.0,Timings Not Available
Raj Donne Biriyani Mane,4.2,100,South Indian,www.zomato.com/bangalore/raj-donne-biriyani-mane-rajajinagar-bangalore/order,Rajajinagar,69.0,"11:30am – 4:30pm, 6:30pm – 11pm "
Raj Donne Biriyani Mane,4.2,100,Biryani,www.zomato.com/bangalore/raj-donne-biriyani-mane-rajajinagar-bangalore/order,Rajajinagar,69.0,"11:30am – 4:30pm, 6:30pm – 11pm "
Ambur Dum Biryani,3.7,100,Biryani,www.zomato.com/bangalore/ambur-dum-biryani-indiranagar-bangalore/order,Indiranagar,0.0,Timings Not Available
Ambur Dum Biryani,3.7,100,Beverages,www.zomato.com/bangalore/ambur-dum-biryani-indiranagar-bangalore/order,Indiranagar,0.0,Timings Not Available
Carols Pastries & Bakers,4.2,100,Bakery,www.zomato.com/bangalore/carols-pastries-bakers-vasanth-nagar-bangalore/order,Vasanth Nagar,0.0,9:30am – 11pm 
Carols Pastries & Bakers,4.2,100,Desserts,www.zomato.com/bangalore/carols-pastries-bakers-vasanth-nagar-bangalore/order,Vasanth Nagar,0.0,9:30am – 11pm 
Tadka Singh,4.4,100,North Indian,www.zomato.com/bangalore/tadka-singh-mg-road-bangalore/order,MG Road,0.0,Timings Not Available
Tadka Singh,4.4,100,Fast Food,www.zomato.com/bangalore/tadka-singh-mg-road-bangalore/order,MG Road,0.0,Timings Not Available
Tadka Singh,4.4,100,Desserts,www.zomato.com/bangalore/tadka-singh-mg-road-bangalore/order,MG Road,0.0,Timings Not Available
Tadka Singh,4.4,100,Beverages,www.zomato.com/bangalore/tadka-singh-mg-road-bangalore/order,MG Road,0.0,Timings Not Available
Abees Mess,4.0,100,Kerala,www.zomato.com/bangalore/abees-mess-btm-bangalore/order,BTM,5.0,Opens  at 7:45am
Abees Mess,4.0,100,Chinese,www.zomato.com/bangalore/abees-mess-btm-bangalore/order,BTM,5.0,Opens  at 7:45am
Abees Mess,4.0,100,South Indian,www.zomato.com/bangalore/abees-mess-btm-bangalore/order,BTM,5.0,Opens  at 7:45am
Dunkin' - Donuts & Coffee,4.1,100,Desserts,www.zomato.com/bangalore/dunkin-donuts-coffee-indiranagar-bangalore/order,Indiranagar,1.0,8am – 11:45pm 
Dunkin' - Donuts & Coffee,4.1,100,Cafe,www.zomato.com/bangalore/dunkin-donuts-coffee-indiranagar-bangalore/order,Indiranagar,1.0,8am – 11:45pm 
Dunkin' - Donuts & Coffee,4.1,100,Bakery,www.zomato.com/bangalore/dunkin-donuts-coffee-indiranagar-bangalore/order,Indiranagar,1.0,8am – 11:45pm 
Dunkin' - Donuts & Coffee,4.1,100,Coffee,www.zomato.com/bangalore/dunkin-donuts-coffee-indiranagar-bangalore/order,Indiranagar,1.0,8am – 11:45pm 
Dunkin' - Donuts & Coffee,4.1,100,Beverages,www.zomato.com/bangalore/dunkin-donuts-coffee-indiranagar-bangalore/order,Indiranagar,1.0,8am – 11:45pm 
Subho Lokkhi Sweets,4.0,100,Mithai,www.zomato.com/bangalore/subho-lokkhi-sweets-rt-nagar-bangalore/order,RT Nagar,0.0,9:30am – 11pm 
Subho Lokkhi Sweets,4.0,100,Street Food,www.zomato.com/bangalore/subho-lokkhi-sweets-rt-nagar-bangalore/order,RT Nagar,0.0,9:30am – 11pm 
Tibb's Frankie - Serving Rolls Since 1969,3.8,100,Rolls,www.zomato.com/bangalore/tibbs-frankie-serving-rolls-since-1969-shivajinagar-bangalore/order,Shivajinagar,1.0,Opens  at 12noon
KC Das - Sweet Bite,4.0,500,Mithai,www.zomato.com/bangalore/kc-das-sweet-bite-frazer-town/order,Frazer Town,35.0,"12midnight – 1am, 9:45am – 11:45pm "
KC Das - Sweet Bite,4.0,500,Street Food,www.zomato.com/bangalore/kc-das-sweet-bite-frazer-town/order,Frazer Town,35.0,"12midnight – 1am, 9:45am – 11:45pm "
KC Das - Sweet Bite,4.0,500,Mishti,www.zomato.com/bangalore/kc-das-sweet-bite-frazer-town/order,Frazer Town,35.0,"12midnight – 1am, 9:45am – 11:45pm "
KC Das - Sweet Bite,4.0,500,Bengali,www.zomato.com/bangalore/kc-das-sweet-bite-frazer-town/order,Frazer Town,35.0,"12midnight – 1am, 9:45am – 11:45pm "
